番号,shopname,category,全店,デジタル,中小,住所１,住所２,電話番号
471,コンテンタ,飲食店,〇,★,●,豊中市蛍池東町2-7-2,プレステージ蛍池101,06-6841-1656
472,OLINO,理美容,〇,★,●,豊中市蛍池東町2-7-2,プレステージ蛍池102,06-6836-9670
473,飛車角行,飲食店,〇,★,●,豊中市蛍池東町3-5-2,,06-6853-7563
474,前田印刷所,その他の業種,〇,★,●,豊中市蛍池東町3-5-2,2F,06-6855-0647
475,es,理美容,〇,★,●,豊中市蛍池東町3-5-3,浅尾蛍池マンション1F,06-6850-2730
476,cocoterrace,理美容,〇,★,●,豊中市蛍池東町3-5-7,光ハイツ1F,06-4866-6998
477,家ピカ本舗 豊中蛍池店,サービス業 その他,〇,★,●,豊中市蛍池東町4-2-18,,0120-548-551
478,デコレッタ,小売業 その他,〇,★,●,豊中市蛍池東町4-6-8,ライフスペースキャノン1F,06-6853-1425
479,宮崎地鶏炭火焼 車 蛍池店,飲食店,〇,★,●,豊中市蛍池西町4-4-11,エアーセンタービル1F,06-6843-8785
480,大阪北部農業協同組合 麻田支店,サービス業 その他,〇,,,豊中市蛍池中町1ー4-30,,06-6855-0661
481,二葉寿司,飲食店,〇,★,●,豊中市蛍池中町1-3-16,,06-6841-5531
482,有限会社ほたるや酒店,食料品(スーパー含む),〇,,●,豊中市蛍池中町2-12-11,,06-6853-6105
483,新月 蛍池店,食料品(スーパー含む),〇,★,●,豊中市蛍池中町2-1-30,ルシオーレ南館1F,06-6843-0141
484,STRI 直営店,小売業 その他,〇,★,●,豊中市蛍池中町2-1-5,イルフィオーレパオII 1F,
485,LuLuca Hair Salon,理美容,〇,★,●,豊中市蛍池中町2-3-1,ルシオーレ南館1F,06-6868-9364
486,いなり寿司 ななや,飲食店,〇,★,●,豊中市蛍池中町2-3-1,ルシオーレ南館1F,06-6843-7878
487,キャンドゥ 蛍池店,小売業 その他,〇,★,●,豊中市蛍池中町2-3-1,ルシオーレ南館1F,06-6854-2645
488,ヘルス薬店ホタルドラッグ 蛍池店,ドラッグストア,〇,★,●,豊中市蛍池中町2-3-1,ルシオーレ南館1F,06-6843-2828
489,八剣伝 蛍池駅前店,飲食店,〇,★,●,豊中市蛍池中町2-3-1,ルシオーレ南館1F,06-6852-8506
490,カレーハウス ガラム,飲食店,〇,★,●,豊中市蛍池中町2-3-1,ルシオーレ南館3F,06-6854-0639
491,サロン ド モガ,理美容,〇,★,●,豊中市蛍池中町2-3-1-118,,06-6841-7138
492,蛍池ガーデン,小売業 その他,〇,,●,豊中市蛍池中町2-4-1,,06-6841-7778
493,ムッシュプリン 蛍池店,食料品(スーパー含む),〇,★,●,豊中市蛍池中町2-4-16,,06-6151-4959
494,フードネットマート 蛍池店,食料品(スーパー含む),〇,★,●,豊中市蛍池中町2-4-17,,06-6843-0589
495,ジュエリーリフォーム&修理 Re:Switch,小売業 その他,〇,★,●,豊中市蛍池中町2-4-18,(中央),06-6868-9935
496,菴,サービス業 その他,〇,★,●,豊中市蛍池中町2-4-2,,06-6854-0788
497,千鳥屋宗家 蛍池店,飲食店,〇,,●,豊中市蛍池中町3-1,,06-6850-3035
498,王様印 蛍池店,小売業 その他,〇,★,●,豊中市蛍池中町3-1,大阪モノレール改札横,070-8306-5823
499,キリン堂 蛍池ルシオーレ店,ドラッグストア,〇,,,豊中市蛍池中町3-2-1,,06-6843-1830
500,コープ 蛍池,食料品(スーパー含む),〇,,,豊中市蛍池中町3-2-1,,06-6842-3711
501,お菓子のデパート OH!かしや ルシオーレ店,食料品(スーパー含む),〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館1F,06-6852-0166
502,ドラッグサントップ 蛍池店,ドラッグストア,〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館1F,06-6855-0714
503,交栄 ルシオーレ店,サービス業 その他,〇,,●,豊中市蛍池中町3-2-1,ルシオーレ北館1F,06-6843-0724
504,インパクト英会話,その他,〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館2F,06-6398-7133
505,ノエルヤマモト 蛍池店,衣料品,〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館2F,06-6855-6905
506,ファッションセンターしまむら 蛍池駅前店,衣料品,〇,,,豊中市蛍池中町3-2-1,ルシオーレ北館2F,06-6858-8508
507,マーケットバスケット,小売業 その他,〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館2F,06-6846-1256
508,ママフル 蛍池店,衣料品,〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館2F,06-6850-2001
509,靴修理と合鍵のお店 プラスワン蛍池店,サービス業 その他,〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館2F,06-6850-2880
510,DEUX 蛍池店,衣料品,〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館3F,06-6854-1166
511,HAPiNS 蛍池ルシオーレ店,家具・雑貨,〇,,,豊中市蛍池中町3-2-1,ルシオーレ北館3F,080-4959-3871
512,ブックファースト 蛍池店,小売業 その他,〇,★,●,豊中市蛍池中町3-2-1,ルシオーレ北館3F,06-4865-7126
513,眼鏡市場ルシオーレ 豊中蛍池店,小売業 その他,〇,,,豊中市蛍池中町3-2-1,ルシオーレ北館3F,06-4865-5028
514,ソフィック オータニ,理美容,〇,★,●,豊中市蛍池中町3-2-1,,06-6855-3373
515,バーバーショップハラガ,理美容,〇,★,●,豊中市蛍池中町3-5-6,,06-6841-4236
516,,理美容,〇,★,●,豊中市蛍池中町3-6-18,プライム蛍池101 06-6852-8826,Deco hair salon
517,,サービス業 その他,〇,★,●,豊中市蛍池中町3-6-7,ルネッサ蛍池201 080-2072-4149,YOSAPARK 燈凛 AKARI 蛍池店
518,,飲食店,〇,★,●,豊中市蛍池中町3-8-14,田中ビル1F 06-7220-6439,grand star cafe
519,,電化製品,〇,,●,豊中市蛍池中町3-9-22,06-6855-9360,ビット蛍池
520,,サービス業 その他,〇,,●,豊中市蛍池中町3-9-30,06-6852-5400,ラセーラ 蛍池駅前店
521,,飲食店,〇,,●,豊中市蛍池中町4-3-14,ラフォーレ雅 06-6841-7858,みんみん
522,,サービス業 その他,〇,★,●,豊中市蛍池中町4-3-22,06-6852-8870,サポートセンター・あたらすファミリー
523,,飲食店,〇,★,●,豊中市蛍池中町4-4-9,06-6841-8211,壱番館
524,,医療福祉,〇,★,●,豊中市蛍池南町2-11-10,06-6849-0848,いぬい鍼灸整骨院
525,,サービス業 その他,〇,★,●,豊中市蛍池南町2-2-3-105,06-6842-7005,自立ゼミナール
526,,サービス業 その他,〇,★,●,豊中市蛍池南町3-2-11-204,0120-503-098,おそうじ本舗 豊中庄内店
527,,理美容,〇,★,●,豊中市箕輪1-21-13,1F 06-6840-0227,La Clochetteトータルビューティー鍼灸サロン
528,,その他の業種,〇,★,●,豊中市箕輪2-1-16,06-6852-0118,大阪神鉄豊中タクシー株式会社
529,,食料品(スーパー含む),〇,★,●,豊中市箕輪2-14-20,06-6855-7877,やまや 大阪空港店
530,,その他の業種,〇,,●,豊中市箕輪2-14-30,06-6857-8180,相互タクシー株式会社 豊中営業所
531,,その他の業種,〇,★,●,豊中市箕輪3-2-1,06-6850-3311,JPレンタカー
532,,その他の業種,〇,★,●,豊中市箕輪3-2-1,06-6850-1347,伊丹空港駐車場JPパーキング
533,,自動車・自転車,〇,★,●,豊中市蛍池西町1-16-15,サンシャインビル1F 06-6840-3269,株式会社ユーロマジック
534,,飲食店,〇,,●,豊中市蛍池西町1-7-18,06-6841-2253,ビッグボーイ 蛍ヶ池店
535,,飲食店,〇,,,豊中市蛍池西町2-141-6,06-6842-3037,吉野家 大阪空港前店
536,,飲食店,〇,★,●,豊中市蛍池西町3-555,大阪国際空港3F 06-4865-5025,黒門まぐろのエン時 伊丹空港店
537,,飲食店,〇,★,●,豊中市蛍池西町3-555,大阪国際空港ターミナルビル中央棟3F 3C-2 06-6151-5921,清十郎 大阪国際空港店
538,,サービス業 その他,〇,,,豊中市蛍池西町3-555,大阪国際空港中央ブロック2F 06-6868-9961,がんこ 伊丹空港店
539,,飲食店,〇,★,●,豊中市蛍池西町3-555,大阪国際空港中央ブロック2F 06-6151-5130,ダイヤモンドカリー 大阪国際空港店
540,,飲食店,〇,★,●,豊中市蛍池西町3-555,大阪国際空港中央ブロック3F 06-4867-3285,海キッチンKINOSAKI
541,,飲食店,〇,,●,豊中市蛍池西町3-555,大阪国際空港中央ブロック4・5F 06-6858-3600,NORTH SHORE 伊丹空港店
542,,サービス業 その他,〇,★,●,豊中市蛍池西町3-555,大阪国際空港中央ブロックターミナル2F 06-6842-3780,Queensway /GINZA BODY CARE 大阪空港
543,,飲食店,〇,★,●,豊中市蛍池西町3-555,大阪国際空港南ターミナル 06-6868-9263,白雲台
544,,サービス業 その他,〇,★,●,豊中市清風荘1-12-2,06-6850-3660,株式会社綜合
545,,理美容,〇,★,●,豊中市清風荘1-16-5,ヴィラージュ清風荘1F A 070-8402-1471,歯のセルフホワイトニング専門店ORAL30 by MANUELA
546,,食料品(スーパー含む),〇,★,●,豊中市清風荘1-5-25,06-6843-1159,焼きたてコーヒー豆と緑茶の店 べるで
547,,小売業 その他,〇,,,豊中市清風荘1-6-2,06-6857-1157,ホームセンターコーナン 中環蛍池店
548,,飲食店,〇,★,●,豊中市清風荘1-7-23-405,06-6845-2998,まほろばてい
549,,コンビニエンスストア,〇,★,●,豊中市清風荘1-8-3,06-6848-0751,ローソン 豊中清風荘店
550,,コンビニエンスストア,〇,★,●,豊中市待兼山町1-1,教育研究交流棟1F 06-6841-2655,ローソン 大阪大学豊中キャンパス店
551,,自動車・自転車,〇,★,●,豊中市待兼山町22-15,06-6854-8615,CYCLEPITダイワサイクル 本店
552,,サービス業 その他,〇,,●,豊中市待兼山町5-1,06-6841-9174,栄光スタジオ
553,,飲食店,〇,,●,豊中市刀根山元町5-50,06-6857-2992,ステーキのどん 中環柴原店
554,,サービス業 その他,〇,★,●,豊中市刀根山1-3-38,06-6845-1066,スタッド 刀根山教室
555,,ドラッグストア,〇,,,豊中市千里園1-1-1,06-6844-3737,キリン堂 豊中千里園店
556,セブン-イレブン 豊中千里園1丁目店,コンビニエンスストア,〇,★,●,豊中市千里園1-5-16,,06-6854-7011
557,三和ランドリー,サービス業 その他,〇,★,●,豊中市千里園1-6-46,,06-6852-5952
558,コンディショニング・トレーニング 久保コーチ,サービス業 その他,〇,★,●,豊中市千里園1-6-55,パインコート千里園101,070-8985-8808
559,Precious,サービス業 その他,〇,★,●,豊中市千里園2-1-98,,080-1180-7122
560,シェフカワカミ 豊中店,食料品(スーパー含む),〇,★,●,豊中市千里園2-2-45,,06-6840-8818
561,マジドゥボヌール,理美容,〇,★,●,豊中市千里園3-6-10,千里園マンションB102,090-3867-3799
562,喫茶&レストラン サギタリュウス,飲食店,〇,★,●,豊中市永楽荘1-3-15,メゾン.サギタリュウス,06-6843-0908
563,ケアサービス いろは,サービス業 その他,〇,★,●,豊中市永楽荘1-4-17,,06-6845-3844
564,寝装インテリア ひがしえ,小売業 その他,〇,★,●,豊中市永楽荘2-1-3,,06-6841-5306
565,食彩優倶楽部,小売業 その他,〇,,●,豊中市永楽荘2-1-4,,06-6840-2988
566,ほっかほっか亭 豊中永楽荘店,小売業 その他,〇,,●,豊中市永楽荘2-1-6,1F,06-6853-8989
567,クボヤマオートバイ,自動車・自転車,〇,★,●,豊中市永楽荘3-10-1,,06-6843-6615
568,助産院 にじ,サービス業 その他,〇,★,●,豊中市永楽荘3-1-18-5,,090-5642-3532
569,仲代志,飲食店,〇,★,●,豊中市春日町1-12-7,,06-6853-2154
570,イタリア酒Bar ドロップイン,飲食店,〇,★,●,豊中市春日町1-1-5,,06-6852-3767
571,メナードフェイシャルサロン サンフラワージュ,理美容,〇,★,●,豊中市春日町1-1-8,チェリーバレー103,06-6845-2260
572,浪速リモデリング株式会社,その他の業種,〇,★,●,豊中市春日町2-3-11,シャンテ伏田1F,06-6855-8571
573,パン工房 Makana,飲食店,〇,★,●,豊中市春日町2-3-14,パロ春日201,070-8342-2651
574,食品館アプロ 豊中春日店,食料品(スーパー含む),〇,,●,豊中市春日町3-1-48,,06-6152-1158
575,おいで屋,小売業 その他,〇,,●,豊中市春日町3-1-50,シャトル松尾102,06-4865-6102
576,ルビー美容室,理美容,〇,★,●,豊中市春日町3-1-52,,06-6854-8425
577,であいランド,医療福祉,〇,★,●,豊中市春日町3-6-8,,06-6845-4618
578,福寿堂,食料品(スーパー含む),〇,★,●,豊中市春日町3-9-12,,06-6855-7326
579,スギ薬局 豊中春日店,ドラッグストア,〇,,,豊中市春日町4-1-35,,06-6840-7871
580,メナードフェイシャルサロン 春日町店,理美容,〇,★,●,豊中市春日町4-3-10,,06-6856-2362
581,読売センター 緑丘・桜井谷,小売業 その他,〇,★,●,豊中市春日町5-2-2,,06-6855-2120
582,やきとり福福,飲食店,〇,★,●,豊中市春日町5-6-6,,06-6845-9891
583,太鼓亭 豊中春日店,飲食店,〇,★,●,豊中市春日町5-9-18,,06-6843-2777
584,ヒロコーヒー 豊中緑ヶ丘店,飲食店,〇,★,●,豊中市向丘1-7-1,フジタピア1F,06-6850-8668
585,石川数学塾 豊中緑丘教室,サービス業 その他,〇,★,●,豊中市向丘1-7-1,フジタピア西緑丘203,06-6840-3080
586,アランチーノ 大阪店,飲食店,〇,★,●,豊中市向丘1-7-5,,06-6396-9601
587,BORN TO BE,食料品(スーパー含む),〇,★,●,豊中市向丘2-10-10,リライフビル1F,06-4867-4919
588,うつわギャラリー陶和,家具・雑貨,〇,★,●,豊中市向丘2-10-10,リライフビル2F,090-2019-4875
589,ダイワサイクル 豊中店,自動車・自転車,〇,★,●,豊中市向丘3-10-13,,06-6152-1238
590,さだもり整体,医療福祉,〇,★,●,豊中市向丘3-11-43,ピュアヒルズ向丘203,070-1800-1154
591,はやかわ歯科医院,医療福祉,〇,★,●,豊中市向丘3-11-43-103,,06-6858-0885
592,オリエンタルキッチン タータンナディ,飲食店,〇,★,●,豊中市向丘3-11-45,ローザ向丘1F,06-6852-0950
593,Nostalgia dell'Italia,飲食店,〇,★,●,豊中市向丘3-11-49,,06-6335-4355
594,ローソン 豊中桜の町1丁目店,コンビニエンスストア,〇,★,●,豊中市桜の町1-1-21,,06-6841-3333
595,Nail Salon Calme,理美容,〇,★,●,豊中市桜の町1-1-4,,06-7777-3313
596,雑貨家コスモス,家具・雑貨,〇,★,●,豊中市桜の町1-1-5,,06-6151-2888
597,コープミニ 桜の町,食料品(スーパー含む),〇,,,豊中市桜の町2-1-6,,06-6857-2001
598,串かつ専門店 藍花,飲食店,〇,★,●,豊中市桜の町2-1-7,,06-6853-1655
599,DOG HAIR STUDIO KEN 桜の町店,サービス業 その他,〇,★,●,豊中市桜の町2-8-46,,06-6846-4918
600,おうちのおそうじ晴れぴか屋,サービス業 その他,〇,★,●,豊中市桜の町2-8-8,ハイツ大樹101,090-4767-3174
601,Beauty Salon IVY,理美容,〇,★,●,豊中市桜の町3-17-4,ロイヤルパレス桜の町1F,06-7165-7062
602,日本リンクオート,自動車・自転車,〇,★,●,豊中市桜の町3-1-8,,06-4865-2727
603,クローバー薬局 柴原店,その他の業種,〇,★,●,豊中市桜の町3-6-12,,06-6844-8066
604,大阪北部農業協同組合 櫻井谷支店,サービス業 その他,〇,,,豊中市桜の町4-1-9,,06-6852-6875
605,セブン-イレブン 豊中桜の町5丁目店,コンビニエンスストア,〇,★,●,豊中市桜の町5-1-15,,06-6858-7211
606,Vari Ves titi,衣料品,〇,,●,豊中市桜の町6-10-3,T'sビル1F,06-6966-1737
607,メナードフェイシャルサロン 少路北,理美容,〇,★,●,豊中市桜の町6-10-3,T'sビル3F,06-6868-9466
608,串揚げ焼き鳥ダイニング 串ろまん,飲食店,〇,,●,豊中市桜の町6-10-3,TsビルB1F,06-6852-9460
609,ロッソ 豊中ロマンチック街道店,飲食店,〇,★,●,豊中市桜の町6-18-30,,06-6850-8400
610,サイクルショップ 輪娯ロード,自動車・自転車,〇,★,●,豊中市桜の町6-8-23,,06-6849-4013
611,がんこ 豊中店,飲食店,〇,,,豊中市桜の町7-10-3,,06-6845-6577
612,チャイナダイニン 浪曼路,飲食店,〇,★,●,豊中市桜の町7-10-4,,06-6858-6223
613,yuraju,理美容,〇,★,●,豊中市桜の町7-4-51,,06-7494-6917
614,肉処倉 豊中店,飲食店,〇,★,●,豊中市桜の町7-6-1,,06-6850-4129
615,エディオン 柴原店,電化製品,〇,★,●,豊中市柴原町1-3-38,,06-7897-1068
616,住まいるでんき館 協洋,電化製品,〇,★,●,豊中市柴原町1-3-9,,06-6849-2229
617,津の国屋 本店,食料品(スーパー含む),〇,,●,豊中市柴原町3-11-10,,06-6852-5163
618,ビューティサロン ひさみ,理美容,〇,,●,豊中市柴原町3-11-23-101,,06-6843-8664
619,zakka Smile,家具・雑貨,〇,★,●,豊中市柴原町3-11-25,ヌーボ豊門105,070-2292-5902
620,ローソン 豊中柴原町三丁目店,コンビニエンスストア,〇,,●,豊中市柴原町3-1-3,,06-6151-5360
621,鮨 淡路,飲食店,〇,★,●,豊中市柴原町3-6-45,柴原グランドハイツ101,06-6854-0339
622,ローソン 市立豊中病院店,コンビニエンスストア,〇,★,●,豊中市柴原町4-14-1,市立豊中病院内,06-6841-5001
623,お茶処 吉田,飲食店,〇,★,●,豊中市柴原町4-8-13,アメニティノーブル101,06-6840-6617
624,医療法人 津金歯科医院,医療福祉,〇,★,●,豊中市宮山町1-1-45,メゾン宮山1F,06-6857-7257
625,Haru hair design,理美容,〇,★,●,豊中市宮山町1-1-45,メゾン宮山A3,06-6398-7607
626,春日薬店,ドラッグストア,〇,★,●,豊中市宮山町1-1-46,,06-6843-0567
627,ワインショップ VAI,食料品(スーパー含む),〇,,●,豊中市宮山町1-7-5,,06-6841-3553
628,キリン堂 豊中宮山店,ドラッグストア,〇,,,豊中市宮山町1-7-8,,06-4865-7671
629,キリン堂薬局 豊中宮山店,医療福祉,〇,,,豊中市宮山町1-7-8,,06-6844-3013
630,株式会社 田中無線,電化製品,〇,★,●,豊中市宮山町1-9-13,,06-6855-0013
631,セブン-イレブン 豊中宮山町二丁目店,コンビニエンスストア,〇,,●,豊中市宮山町2-21-53,,06-6849-7511
632,サカエ美容室,理美容,〇,★,●,豊中市宮山町2-3-1,,06ー6841ー6847
633,ラッピングショップココマーノ,小売業 その他,〇,★,●,豊中市宮山町3-2-11,,06-7500-3410
634,ヘアーサロン バービックぷらす北町,理美容,〇,★,●,豊中市新千里北町2-20-13,,06-6872-3297
635,CAFE STEEN,飲食店,〇,★,●,豊中市新千里北町2-20-14,セクレア新千里北町105,06-6170-7698
636,マルチュウ 新千里北町店,食料品(スーパー含む),〇,★,●,豊中市新千里北町2-20-15,,06-6872-6748
637,パナエース共栄株式会社,電化製品,〇,★,●,豊中市新千里北町2-20-5,,06-6872-3391
638,石川書店,小売業 その他,〇,★,●,豊中市新千里北町2-20-6,,06-6872-2173
639,ドゥビフォト,サービス業 その他,〇,★,●,豊中市新千里北町2-40,C-901,080-3839-1981
640,セブン-イレブン 豊中新千里北町店,コンビニエンスストア,〇,★,●,豊中市新千里北町3-1-2-1,,06-6832-7811
641,ピーコックストア 千里中央店,食料品(スーパー含む),〇,,,豊中市新千里東町1-1-1,,06-6831-1881
642,Gap/Gap Kids 千里中央店,衣料品,〇,,,豊中市新千里東町1-1-1,オトカリテ1F,06-6155-0710
643,Zoff オトカリテ千里中央店,小売業 その他,〇,,,豊中市新千里東町1-1-1,オトカリテ1F,06-6872-8201
644,AIDA,家具・雑貨,〇,,●,豊中市新千里東町1-1-1,オトカリテ2F,06-6170-4799
645,checutte,衣料品,〇,,●,豊中市新千里東町1-1-1,オトカリテ2F,06-6170-9827
646,dinos OUTLET by Sakura Folks,衣料品,〇,,●,豊中市新千里東町1-1-1,オトカリテ2F,06-6170-6470
647,hanger,衣料品,〇,,●,豊中市新千里東町1-1-1,オトカリテ2F,06-6170-4798
648,REFLE,サービス業 その他,〇,,●,豊中市新千里東町1-1-1,オトカリテ2F,06-6872-9925
649,アーバンリサーチ ドアーズ 千里中央店,衣料品,〇,,●,豊中市新千里東町1-1-1,オトカリテ2F,050-2017-9070
650,オペークドットクリップ,衣料品,〇,,,豊中市新千里東町1-1-1,オトカリテ2F,06-6170-4865
651,フォーベリーズ,小売業 その他,〇,,●,豊中市新千里東町1-1-1,オトカリテ2F,06-6873-4777
652,ブルーブルーエ,家具・雑貨,〇,,●,豊中市新千里東町1-1-1,オトカリテ2F,06-6833-5205
653,any FAM オトカリテ千里中央店,衣料品,〇,,,豊中市新千里東町1-1-1,オトカリテ3F,06-6155-0343
654,Dr.strech 千里中央店,サービス業 その他,〇,,,豊中市新千里東町1-1-1,オトカリテ3F,06-6155-6706
655,シューラルー,衣料品,〇,,,豊中市新千里東町1-1-1,オトカリテ3F,06-6170-5946
656,スパイス ヘア アヴェダ,理美容,〇,,●,豊中市新千里東町1-1-1,オトカリテ3F,06-6832-1077
657,ビューティーフェイスプレミアム オトカリテ店,理美容,〇,,●,豊中市新千里東町1-1-1,オトカリテ3F,06-6835-9076
658,ユザワヤ 千里中央店,小売業 その他,〇,,●,豊中市新千里東町1-1-1,オトカリテ3F,06-6833-4343
659,モンサンミッシェル 千里中央,サービス業 その他,〇,,●,豊中市新千里東町1-1-1,オトカリテ5F,06-6871-2670
660,ユニクロ オトカリテ千里中央店,衣料品,〇,,,豊中市新千里東町1-1-1,オトカリテ5F,06-6836-6616
661,クリーニングルビー オトカリテ千里中央店,サービス業 その他,〇,,●,豊中市新千里東町1-1-1,オトカリテB1F,06-6833-5233
662,ドンク オトカリテ千里中央店,食料品(スーパー含む),〇,,,豊中市新千里東町1-1-1,オトカリテB1F,06-6834-6023
663,ビアードパパ プロントオトカリテ千里中央店,飲食店,〇,,,豊中市新千里東町1-1-1,オトカリテB1F,06-6155-1001
664,フレッシュネスバーガー オトカリテ千里中央店,飲食店,〇,,●,豊中市新千里東町1-1-1,オトカリテB1F,06-6155-1010
665,プロント オトカリテ千里中央店,飲食店,〇,,,豊中市新千里東町1-1-1,オトカリテB1F,06-6155-1001
666,ラ・リーフ,衣料品,〇,,●,豊中市新千里東町1-1-1,オトカリテB1F,090-8141-6252
667,喜八洲総本舗 オトカリテ千里中央店,食料品(スーパー含む),〇,,●,豊中市新千里東町1-1-1,オトカリテB1F,06-6871-7102
668,京都キョーワズ珈琲 千里中央店,飲食店,〇,,●,豊中市新千里東町1-1-1,オトカリテB1F,06-6170-9086
669,千客万来 まねきだこ,飲食店,〇,,●,豊中市新千里東町1-1-1,オトカリテB1F,06-6832-6601
670,箕面デニッシュ サトウカエデ 千里中央オトカリテ店,食料品(スーパー含む),〇,,●,豊中市新千里東町1-1-1,オトカリテB1F,080-7092-0064
671,ayumi plaisir,衣料品,〇,★,●,豊中市新千里東町1-1-3,SENRITOよみうり2F,06-6836-5061
672,SAVATORE CUOMO&BAR 千里中央店,飲食店,〇,,,豊中市新千里東町1-1-3,SENRITOよみうり2F,06-6155-2165
673,レオニダス 千里中央店,飲食店,〇,★,●,豊中市新千里東町1-1-3,SENRITOよみうり2F,06-6872-7456
674,寸法直し職人 楓 千里中央店,サービス業 その他,〇,,●,豊中市新千里東町1-1-3,SENRITOよみうり2F,06-6836-0704
675,第一楽器株式会社 千里中央店,その他の業種,〇,★,●,豊中市新千里東町1-1-3,SENRITOよみうり2F,06-6831-1383
676,有限会社ボンドストリート,理美容,〇,★,●,豊中市新千里東町1-1-3,SENRITOよみうり2F,06-6834-2656
677,せんり中央整体,医療福祉,〇,,●,豊中市新千里東町1-1-3,SENRITOよみうり3F,06-6873-0007
678,りょうこ皮ふ科クリニック,医療福祉,〇,★,●,豊中市新千里東町1-1-3,SENRITOよみうり3F,06-6873-6889
679,KOHYO SENRITO店,食料品(スーパー含む),〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館1F,06-6834-5400
680,クリーニング ルビー,サービス業 その他,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館1F,06-6835-1501
681,ドラッグストア ユアピース,ドラッグストア,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館1F,06-6310-0107
682,鳥ぷろ イオンSENRITO店,食料品(スーパー含む),〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館1F,06-4860-6034
683,14+(ICHIYON PLUS) イオンSENRITO店,衣料品,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-6155-4714
684,KARENDO 千里中央店,サービス業 その他,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-4860-6552
685,My Select Point 千里中央店,家具・雑貨,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-6835-1544
686,studio CLIP,衣料品,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-6835-2151
687,コスコークレープ イオンSENRITO店,飲食店,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-4860-6827
688,デリフランス 千里中央店,飲食店,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-6836-6610
689,ハックルベリー イオンSENRITO店,衣料品,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-6835-5225
690,ビースリー,衣料品,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-6836-2323
691,田村書店 イオンSENRITO店,小売業 その他,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-6832-7545
692,無印良品 イオンSENRITO店,家具・雑貨,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館2F,06-4860-6214
693,ASBee,衣料品,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館3F,06-6836-5420
694,ASBee kids,衣料品,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館3F,06-6836-6226
695,Perfect Suit FActory イオンSENRITO店,衣料品,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館3F,06-4860-6885
696,Right-on イオンSENRITO店,衣料品,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館3F,06-6836-6628
697,カフェ モロゾフ,飲食店,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館3F,06-4860-6381
698,ノエル ブランシェ,小売業 その他,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館3F,06-6155-4057
699,メガネの三城 イオンSENRITO店,小売業 その他,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館3F,06-6832-7538
700,本きもの 松葉,衣料品,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館3F,06-6832-5291
701,ジーユー イオンSENRITO店,衣料品,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館4F,06-4860-6178
702,セリア イオンSENRITO店,家具・雑貨,〇,,,豊中市新千里東町1-1-3,イオンSENRITO専門館4F,06-6155-4024
703,米と味噌とひき肉と。HARVESTA,飲食店,〇,,●,豊中市新千里東町1-1-3,イオンSENRITO専門館4F,06-4860-6724
704,梅の花 千里中央店,飲食店,〇,,,豊中市新千里東町1-1-5,大阪モノレールビル1F・B1F,06-6871-6006
705,阪急オアシス 千里中央店,食料品(スーパー含む),〇,,,豊中市新千里東町1-2-1,,06-6155-3811
706,bon hair & make Tower店,理美容,〇,★,●,豊中市新千里東町1-2-1,2F,06-6835-0111
707,ヤマダデンキ LABI LIFE SELECT千里,電化製品,〇,,,豊中市新千里東町1-2-20,,06-6155-1031
708,野菜とつぶつぶ アプサラカフェ LABI千里中央店,飲食店,〇,★,●,豊中市新千里東町1-2-20,LABI LIFESELECT千里4F,06-6836-5980
709,しゃぶしゃぶ温野菜LABI 千里中央店,飲食店,〇,★,●,豊中市新千里東町1-2-20,LABI LIFESERECT千里5F,06-6872-0831
